nome,categoria,cidade,estado,territorio,latitude,longitude,observacao
Rede Kalunga Comunicações,Prática Comunicacional,Cavalcante,Goiás,Quilombola Kalunga (GO),-1.379.524,-4.745.326,ok
Associação Quilombola Kalunga,Prática Comunicacional,Cavalcante,Goiás,Quilombo Kalunga (GO),-1.379.524,-4.745.326,ok
Alciléia Torres,Prática Comunicacional,Cavalcante,Goiás,Quilombo Kalunga (GO),-1.379.524,-4.745.326,ok
Danillo Serafim,Prática Cultural,Cavalcante,Goiás,Quilombo Kalunga (GO),-1.379.524,-4.745.326,ok
Marta Kalunga,Prática Cultural,Cavalcante,Goiás,Quilombo Kalunga (GO),-1.379.524,-4.745.326,ok
Lucilene Kalunga,Prática Comunicacional,Cavalcante,Goiás,Quilombo Kalunga (GO),-1.379.524,-4.745.326,ok
Regimara Santos,Prática Comunicacional,Cavalcante,Goiás,Quilombo Kalunga (GO),-1.379.524,-4.745.326,ok
Higor Torres,Prática Comunicacional,Cavalcante,Goiás,Quilombo Kalunga (GO),-1.379.524,-4.745.326,ok
Fatima Tertuliano,Prática Comunicacional,Cavalcante,Goiás,Quilombo Kalunga (GO),-1.379.524,-4.745.326,ok
Tales Damascena de Lima,Prática Cultural,Cavalcante,Goiás,Quilombo Kalunga (GO),-1.379.524,-4.745.326,ok
Júlio César,Prática Comunicacional,Cavalcante,Goiás,Quilombola Kalunga (GO),-1.379.524,-4.745.326,ok
Radio Kalungueira,Prática Comunicacional,Cavalcante,Goiás,Quilombo Kalunga,-1.379.524,-4.745.326,ok
A Voz da Comunidade,Prática Comunicacional,Cavalcante,Goiás,Quilombo Kalunga,-1.379.524,-4.745.326,ok
KaluCast,Prática Comunicacional,Cavalcante,Goiás,Quilombo Kalunga,-1.379.524,-4.745.326,ok
Oficina de Comunicação Kalunga,Prática Comunicacional,Cavalcante,Goiás,Quilombo Kalunga,-1.379.524,-4.745.326,ok
Jornal Kalunga,Prática Comunicacional,Cavalcante,Goiás,Quilombo Kalunga,-1.379.524,-4.745.326,ok
Vão de Almas,Prática Comunicacional,Cavalcante,Goiás,Quilombo Kalunga,-1.379.524,-4.745.326,ok
Felipe Costa Souza,Prática Comunicacional,Rio Verde,Goiás,Quilombo Kalunga,-1.379.524,-4.745.326,ok
Associação Quilombola Da Região De Peral/Fazenda,Prática Comunicacional,Icatu,Maranhão,Associação Quilombola Da Região De Peral/Fazenda,,,Localização a definir
Quilombo Canta Galo,Prática Comunicacional,Itapecuru Mirim,Maranhão,Maranhão,,,Localização a definir
Associação Comunitária Rural Quilombola de Santo Antônio e Adjacências,Prática Comunicacional,Itapecuru Mirim,Maranhão,Quilombola de Santo Antônio e Adjacências,,,Localização a definir
Território Quilombola Santa Rosa dos Pretos,Prática Comunicacional,Itapecuru Mirim,Maranhão,"Uma comunidade quilombola localizada em Itapecuru-Mirim, no Maranhão,",,,Localização a definir
Marciel Pires,Prática Comunicacional,Itapecuru-Mirim,Maranhão,Território Quilombola Santa Rosa dos Pretos,,,Localização a definir
Mídia Quilombola,Prática Comunicacional,Lima Campos,Maranhão,Quilombo Bom Jesus dos Pretos - Lima Campos (MA),,,Localização a definir
Quilombo Santa Maria,Prática Comunicacional,Matinha,Maranhão,Quilombo Santa Maria,,,Localização a definir
Tambor de crioula mãe Andreza,Prática Cultural,Matinha,Maranhão,Sesmaria do Jardim,,,Localização a definir
Keyse Valadares,Prática Comunicacional,Mirinzal,Maranhão,Quilombo Oxalá de Jacunday Moju/PA,,,Localização a definir
Meiryele Cantanhede,Prática Cultural,São Luís,Maranhão,Quilombo Liberdade,,,Localização a definir
Moquibom Maranhão,Prática Cultural,São Luís,Maranhão,Movimento Quilombola do Maranhão,,,Localização a definir
Joelington Rios,Prática Cultural,Turiaçu,Maranhão,Quilombo Jamary dos Pretos,,,Localização a definir
Mocambaiou - Arquivo Memória de Quilombo Jamary dos Pretos (MA),Prática Comunicacional,Turiaçu,Maranhão,Quilombo Jamary dos Pretos,,,Localização a definir
Rádio e TV Quilombo Rampa,Prática Comunicacional,Vargem Grande,Maranhão,Quilombo Rampa (MA),,,Localização a definir
"Coalizão de Mídias Periférica, Favelada, Quilombola, Indígena",Prática Comunicacional,Vargem Grande,Maranhão,Brasil,,,Localização a definir
Quilombo Piqui da Rampa,Prática Comunicacional,Vargem Grande,Maranhão,Vargem Grande (MA),,,Localização a definir
Raimundo Quilombola (Raimundo José da Silva Leite),Prática Comunicacional,Vargem Grande,Maranhão,Quilombo Rampa,,,Localização a definir
Festa de São Benedito,Prática Cultural,Campo Grande,Mato Grosso do Sul,Comunidade Quilombola Tia Eva,,,Localização a definir
Quilombo Furnas do Dionísio,Prática Comunicacional,Jaraguari,Mato Grosso do Sul,Serra de Maracaju,,,Localização a definir
Lauriany Santos,Prática Comunicacional,Jaraguari,Mato Grosso do Sul,Quilombo Furnas do Dionisio,,,Localização a definir
Vera Quilombola,Prática Comunicacional,Jaraguari,Mato Grosso do Sul,Quilombo Furnas do Dionísio,,,Localização a definir
Mariah (Maria Aparecida Silva),Prática Cultural,Jaraguari,Mato Grosso do Sul,Quilombo Furnas do Dionísio,,,Localização a definir
Vitória Santos,Prática Comunicacional,Jaraguari,Mato Grosso do Sul,Quilombo Furnas do Dionísio,,,Localização a definir
Quilombo Família Mattias,Prática Comunicacional,Belo Horizonte,Minas Gerais,Bairro Santa Tereza,,,Localização a definir
Quilombo de Mangueiras,Prática Comunicacional,Belo Horizonte,Minas Gerais,Quilombo Urbano,,,Localização a definir
Federação Quilombola MG N'golo,Prática Comunicacional,Belo Horizonte,Minas Gerais,Estado de Minas Gerais,,,Localização a definir
Luan Manzo (criança),Prática Cultural,Belo Horizonte,Minas Gerais,Quilombo Manzo,,,Localização a definir
Jéssica Fernanda,Prática Comunicacional,Belo Horizonte,Minas Gerais,Quilombo Manzo,,,Localização a definir
Luciana Matias,Prática Cultural,Belo Horizonte,Minas Gerais,Quilombo Família Mattias,,,Localização a definir
Ione Oliveira,Prática Cultural,Belo Horizonte,Minas Gerais,Quilombo de Mangueiras,,,Localização a definir
Makota Cassia,Prática Cultural,Belo Horizonte,Minas Gerais,Manzo Ngunzo Kaiango,,,Localização a definir
Bruno Evangelista,Prática Comunicacional,Belo Horizonte,Minas Gerais,Quilombo de Bandeira Grande,,,Localização a definir
Quilombo dos Luizes,Prática Comunicacional,Belo Horizonte,Minas Gerais,"Localizado no bairro Grajaú, em Belo Horizonte",,,Localização a definir
Mariana Crioula (Coordenação de Mulheres Quilombolas do Estado de Minas Gerais),Prática Comunicacional,Belo Horizonte,Minas Gerais,Estado de Minas Gerais,,,Localização a definir
Quilombo Familia Souza,Prática Comunicacional,Belo Horizonte,Minas Gerais,Quilombo Urbano Famila Souza (BH),,,Localização a definir
Quilombo Chacrinha dos Pretos,Prática Comunicacional,Belo Vale,Minas Gerais,Ruínas da antiga fazenda da chácara,,,Localização a definir
Tuquinha Dias,Prática Comunicacional,Belo Vale,Minas Gerais,Quilombo Chacrinha dos Pretos - Belo Vale/MG,,,Localização a definir
Thew Soares,Prática Comunicacional,Chapada do Norte,Minas Gerais,Alto e o Médio Jequitinhonha,,,Localização a definir
Kilombo Comunica,Prática Comunicacional,Chapada do Norte,Minas Gerais,Quilombo Faceira / Alto e o Médio Jequitinhonha,,,Localização a definir
Quilombo Arturos,Prática Comunicacional,Contagem,Minas Gerais,Região Metropolitana de BH,,,Localização a definir
Festa da Abolição,Prática Cultural,Contagem,Minas Gerais,Comunidade Quilombola dos Arturos,,,Localização a definir
Maria das Merçês,Prática Comunicacional,Jaboticatubas,Minas Gerais,Quilombo do Açude - Jabuticatubas/Serra do Cipó (MG),,,Localização a definir
Quilombo do Açude,Prática Comunicacional,Jaboticatubas,Minas Gerais,Quilombo do Açude - Jabuticatubas/Serra do Cipó (MG),,,Localização a definir
Voz do Açude,Prática Cultural,Jaboticatubas,Minas Gerais,Quilombo do Açude - Jabuticatubas/Serra do Cipó (MG),,,Localização a definir
Quilombo Mato do Tição,Prática Comunicacional,Jaboticatubas,Minas Gerais,Jabuticatubas/Serra do Cipó (MG),,,Localização a definir
Mulheres de Quilombo,Prática Comunicacional,Jaboticatubas,Minas Gerais,Quilombo do Açude - Jabuticatubas/Serra do Cipó (MG),,,Localização a definir
Igor(Matishow),Prática Comunicacional,Jaboticatubas,Minas Gerais,Quilombo Mato do Tição - Jabuticatubas (MG),,,Localização a definir
Mateus Sabino,Prática Cultural,Jaboticatubas,Minas Gerais,Quilombo do Açude - Jabuticatubas/Serra do Cipó (MG),,,Localização a definir
Atanael Barros,Prática Cultural,Jaboticatubas,Minas Gerais,Quilombo do Açude - Jabuticatubas (MG),,,Localização a definir
João Magela,Prática Comunicacional,Jaboticatubas,Minas Gerais,Quilombo do Açude - Jabuticatubas (MG),,,Localização a definir
Pedro Eduardo,Prática Cultural,Jaboticatubas,Minas Gerais,Quilombo do Açude - Jabuticatubas (MG),,,Localização a definir
Maria Luiza,Prática Comunicacional,Jaboticatubas,Minas Gerais,Quilombo do Açude - Jabuticatubas (MG),,,Localização a definir
Ana Mercês,Prática Comunicacional,Jaboticatubas,Minas Gerais,Quilombo do Açude - Jabuticatubas (MG),,,Localização a definir
Festejo de São João,Prática Cultural,Jaboticatubas,Minas Gerais,Quilombo Mata do Tição,,,Localização a definir
Projeto Viva Quilombo,Prática Comunicacional,Januária,Minas Gerais,Quilombo Liberdade,,,Localização a definir
